THRESH	FMR	FMR_Interval	FNMR	FNMR_Interval
0.45	0.0042834890965730964	(0.0, 0.017307026652821047)	40.19870370370347	(30.555555555555557, 49.074074074074076)
0.47000000000000003	0.008461405330564133	(0.0, 0.02596053997923157)	36.96518518518518	(27.77777777777778, 46.2962962962963)
0.49	0.012746625129802364	(0.0, 0.034614053305642094)	34.20611111111129	(25.0, 42.61574074074041)
0.51	0.012746625129802364	(0.0, 0.034614053305642094)	29.592407407407634	(21.296296296296298, 37.96296296296296)
0.53	0.030152301834544218	(0.0, 0.06922810661128419)	26.58907407407408	(18.51851851851852, 34.25925925925926)
0.55	0.05818276220145246	(0.017307026652821047, 0.1124956732433368)	23.82425925925921	(16.666666666666664, 31.48148148148148)
0.5700000000000001	0.09492038767739494	(0.034614053305642094, 0.16441675320179994)	21.734259259259353	(14.791666666666673, 29.629629629629626)
0.5900000000000001	0.14244548286604017	(0.06057459328487366, 0.23364485981308408)	18.957407407407565	(12.037037037037036, 26.851851851851855)
0.61	0.21796123226029235	(0.1124956732433368, 0.3374870197300104)	16.642962962963196	(10.185185185185185, 24.074074074074073)
0.63	0.3103617168570359	(0.17307026652821045, 0.46728971962616817)	15.952962962963149	(9.25925925925926, 23.14814814814815)
0.65	0.48471789546555766	(0.3028729664243683, 0.6922810661128418)	14.067592592592664	(7.4074074074074066, 20.37037037037037)
0.67	0.6968587746625126	(0.46728971962616817, 0.9518864659051576)	12.71611111111109	(6.481481481481481, 19.444444444444446)
0.69	0.984948078920039	(0.7180252682589132, 1.289373485635168)	10.17240740740735	(4.62962962962963, 16.666666666666664)
0.71	1.3484579439252247	(1.0211145725164417, 1.6960886119764624)	9.710185185185109	(4.62962962962963, 15.74074074074074)
0.73	1.9270785739010217	(1.5489788854274835, 2.3277950848044306)	8.560925925925831	(3.7037037037037033, 13.88888888888889)
